[96mGenerating FPChecker report...[00m
Trace files found: 0
Error files found: 1

===== Rounding Error Report =====
Files with rounding errors: 3
Lines with rounding errors: 623
Max abs rounding error:   2.370555e+27
Max relative error:       inf
Max seen relative error:  inf

--- File: /g/g90/sharmin1/tutorial/FPChecker/experiments/proxy_apps/mixed_precision/lulesh_new/lulesh_2/before/lulesh-init.cc
Line   | Code                                           |         Error |    Rel. Error | Max Rel. Error
203    | Real_t AbsDiff = FABS(locDom.e(j*nx+k)-locD... |  0.000000e+00 |  0.000000e+00 |           inf
204    | TotalAbsDiff  += AbsDiff;                      |  0.000000e+00 |           inf |           inf
206    | if (MaxAbsDiff <AbsDiff) MaxAbsDiff = AbsDiff; |  7.234582e+19 |  1.000000e+00 |           inf
208    | Real_t RelDiff = AbsDiff / locDom.e(k*nx+j);   |  0.000000e+00 |           inf |  0.000000e+00
210    | if (MaxRelDiff <RelDiff)  MaxRelDiff = RelD... | -1.575292e-04 |  3.687030e+09 |           inf

--- File: /g/g90/sharmin1/tutorial/FPChecker/experiments/proxy_apps/mixed_precision/lulesh_new/lulesh_2/before/lulesh.cc
Line   | Code                                           |         Error |    Rel. Error | Max Rel. Error
--------------------------------------------------------------------------------------------------------
44     | printf(" -v              : Output viz file ... |  0.000000e+00 |  0.000000e+00 |           inf
48     | *Notable changes in LULESH 2.0                 |  1.241763e-09 |  9.934107e-09 |  1.468014e-01
52     | lulesh-comm.cc - MPI functionality             |  2.221578e+05 |  1.000000e+00 |           inf
113    | ARE DISCLAIMED. IN NO EVENT SHALL LAWRENCE ... |  1.164153e-10 |  2.980232e-08 |  1.000000e+00
169    | Real_t targetdt = domain.stoptime() - domai... |  3.234180e-05 |  3.291112e-03 |  3.291112e-03
171    | if ((domain.dtfixed() <= Real_t(0.0)) && (d... |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
178    | if (domain.dtcourant() < gnewdt) {             | -5.695516e-05 |  1.570476e+06 |  2.515029e+06
181    | if (domain.dthydro() < gnewdt) {               | -2.700787e-05 |  7.447123e+05 |  1.067049e+06
193    | ratio = newdt / olddt ;                        |  3.614490e-01 |  3.020819e-01 |  1.067049e+06
194    | if (ratio >= Real_t(1.0)) {                    |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
195    | if (ratio < domain.deltatimemultlb()) {        |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
198    | else if (ratio > domain.deltatimemultub()) {   |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
199    | newdt = olddt*domain.deltatimemultub() ;       |  5.555384e-12 |  5.887655e-08 |  5.887655e-08
203    | if (newdt > domain.dtmax()) {                  | -2.700787e-05 |  7.447123e+05 |  1.067049e+06
206    | domain.deltatime() = newdt ;                   | -2.700787e-05 |  7.447123e+05 |  1.067049e+06
210    | if ((targetdt > domain.deltatime()) &&         |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
211    | (targetdt < (Real_t(4.0) * domain.deltatime... |  0.000000e+00 |  0.000000e+00 |  1.067049e+06
215    | if (targetdt < domain.deltatime()) {           |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
219    | domain.time() += domain.deltatime() ;          | -5.934963e-05 |  3.430874e-01 |  3.430874e-01
242    | elemX[0] = domain.x(nd0i);                     |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
243    | elemX[1] = domain.x(nd1i);                     |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
244    | elemX[2] = domain.x(nd2i);                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
245    | elemX[3] = domain.x(nd3i);                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
246    | elemX[4] = domain.x(nd4i);                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
247    | elemX[5] = domain.x(nd5i);                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
248    | elemX[6] = domain.x(nd6i);                     |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
249    | elemX[7] = domain.x(nd7i);                     |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
251    | elemY[0] = domain.y(nd0i);                     |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
252    | elemY[1] = domain.y(nd1i);                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
253    | elemY[2] = domain.y(nd2i);                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
254    | elemY[3] = domain.y(nd3i);                     |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
255    | elemY[4] = domain.y(nd4i);                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
256    | elemY[5] = domain.y(nd5i);                     |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
257    | elemY[6] = domain.y(nd6i);                     |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
258    | elemY[7] = domain.y(nd7i);                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
260    | elemZ[0] = domain.z(nd0i);                     |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
261    | elemZ[1] = domain.z(nd1i);                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
262    | elemZ[2] = domain.z(nd2i);                     |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
263    | elemZ[3] = domain.z(nd3i);                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
264    | elemZ[4] = domain.z(nd4i);                     |  0.000000e+00 |  0.000000e+00 |  1.687113e+00
265    | elemZ[5] = domain.z(nd5i);                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
266    | elemZ[6] = domain.z(nd6i);                     |  0.000000e+00 |  0.000000e+00 |  1.000004e+00
267    | elemZ[7] = domain.z(nd7i);                     |  0.000000e+00 |  0.000000e+00 |  1.000016e+00
284    | sigxx[i] = sigyy[i] = sigzz[i] =  - domain.... |  0.000000e+00 |  0.000000e+00 |           inf
297    | const Real_t x0 = x[0] ;   const Real_t x1 ... |  0.000000e+00 |  0.000000e+00 |  1.014625e+00
298    | const Real_t x2 = x[2] ;   const Real_t x3 ... |  0.000000e+00 |  0.000000e+00 |  1.014625e+00
299    | const Real_t x4 = x[4] ;   const Real_t x5 ... |  0.000000e+00 |  0.000000e+00 |  1.014625e+00
300    | const Real_t x6 = x[6] ;   const Real_t x7 ... |  0.000000e+00 |  0.000000e+00 |  1.014625e+00
302    | const Real_t y0 = y[0] ;   const Real_t y1 ... |  0.000000e+00 |  0.000000e+00 |  1.010929e+00
303    | const Real_t y2 = y[2] ;   const Real_t y3 ... |  0.000000e+00 |  0.000000e+00 |  1.010929e+00
304    | const Real_t y4 = y[4] ;   const Real_t y5 ... |  0.000000e+00 |  0.000000e+00 |  1.010929e+00
305    | const Real_t y6 = y[6] ;   const Real_t y7 ... |  0.000000e+00 |  0.000000e+00 |  1.010929e+00
307    | const Real_t z0 = z[0] ;   const Real_t z1 ... |  0.000000e+00 |  0.000000e+00 |  1.005435e+00
308    | const Real_t z2 = z[2] ;   const Real_t z3 ... |  0.000000e+00 |  0.000000e+00 |  1.005435e+00
309    | const Real_t z4 = z[4] ;   const Real_t z5 ... |  0.000000e+00 |  0.000000e+00 |  1.005435e+00
310    | const Real_t z6 = z[6] ;   const Real_t z7 ... |  0.000000e+00 |  0.000000e+00 |  1.005435e+00
319    | fjxxi = Real_t(.125) * ( (x6-x0) + (x5-x3) ... |  0.000000e+00 |  0.000000e+00 |  1.005435e+00
320    | fjxet = Real_t(.125) * ( (x6-x0) - (x5-x3) ... |  0.000000e+00 |  0.000000e+00 |  6.752109e+00
321    | fjxze = Real_t(.125) * ( (x6-x0) + (x5-x3) ... |  0.000000e+00 |  0.000000e+00 |  6.152518e+00
323    | fjyxi = Real_t(.125) * ( (y6-y0) + (y5-y3) ... |  0.000000e+00 |  0.000000e+00 |  6.152518e+00
324    | fjyet = Real_t(.125) * ( (y6-y0) - (y5-y3) ... |  0.000000e+00 |  0.000000e+00 |  1.005435e+00
325    | fjyze = Real_t(.125) * ( (y6-y0) + (y5-y3) ... |  0.000000e+00 |  0.000000e+00 |  6.152518e+00
327    | fjzxi = Real_t(.125) * ( (z6-z0) + (z5-z3) ... |  0.000000e+00 |  0.000000e+00 |  6.152518e+00
328    | fjzet = Real_t(.125) * ( (z6-z0) - (z5-z3) ... |  0.000000e+00 |  0.000000e+00 |  6.752109e+00
329    | fjzze = Real_t(.125) * ( (z6-z0) + (z5-z3) ... |  0.000000e+00 |  0.000000e+00 |  1.005435e+00
332    | cjxxi =    (fjyet * fjzze) - (fjzet * fjyze);  |  0.000000e+00 |  0.000000e+00 |  2.809119e+01
333    | cjxet =  - (fjyxi * fjzze) + (fjzxi * fjyze);  |  0.000000e+00 |  0.000000e+00 |  2.879067e+01
334    | cjxze =    (fjyxi * fjzet) - (fjzxi * fjyet);  |  0.000000e+00 |  0.000000e+00 |  2.879075e+01
336    | cjyxi =  - (fjxet * fjzze) + (fjzet * fjxze);  |  0.000000e+00 |  0.000000e+00 |  2.879075e+01
337    | cjyet =    (fjxxi * fjzze) - (fjzxi * fjxze);  |  0.000000e+00 |  0.000000e+00 |  2.809103e+01
338    | cjyze =  - (fjxxi * fjzet) + (fjzxi * fjxet);  |  0.000000e+00 |  0.000000e+00 |  2.879075e+01
340    | cjzxi =    (fjxet * fjyze) - (fjyet * fjxze);  |  0.000000e+00 |  0.000000e+00 |  2.879075e+01
341    | cjzet =  - (fjxxi * fjyze) + (fjyxi * fjxze);  |  0.000000e+00 |  0.000000e+00 |  2.879067e+01
342    | cjzze =    (fjxxi * fjyet) - (fjyxi * fjxet);  |  0.000000e+00 |  0.000000e+00 |  2.809119e+01
348    | b[0][0] =   -  cjxxi  -  cjxet  -  cjxze;      |  0.000000e+00 |  0.000000e+00 |           inf
349    | b[0][1] =      cjxxi  -  cjxet  -  cjxze;      |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
350    | b[0][2] =      cjxxi  +  cjxet  -  cjxze;      |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
351    | b[0][3] =   -  cjxxi  +  cjxet  -  cjxze;      |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
352    | b[0][4] = -b[0][2];                            |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
353    | b[0][5] = -b[0][3];                            |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
354    | b[0][6] = -b[0][0];                            |  0.000000e+00 |  0.000000e+00 |           inf
355    | b[0][7] = -b[0][1];                            |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
357    | b[1][0] =   -  cjyxi  -  cjyet  -  cjyze;      |  0.000000e+00 |  0.000000e+00 |           inf
358    | b[1][1] =      cjyxi  -  cjyet  -  cjyze;      |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
359    | b[1][2] =      cjyxi  +  cjyet  -  cjyze;      |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
360    | b[1][3] =   -  cjyxi  +  cjyet  -  cjyze;      |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
361    | b[1][4] = -b[1][2];                            |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
362    | b[1][5] = -b[1][3];                            |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
363    | b[1][6] = -b[1][0];                            |  0.000000e+00 |  0.000000e+00 |           inf
364    | b[1][7] = -b[1][1];                            |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
366    | b[2][0] =   -  cjzxi  -  cjzet  -  cjzze;      |  0.000000e+00 |  0.000000e+00 |           inf
367    | b[2][1] =      cjzxi  -  cjzet  -  cjzze;      |  0.000000e+00 |  0.000000e+00 |  9.395241e+09
368    | b[2][2] =      cjzxi  +  cjzet  -  cjzze;      |  0.000000e+00 |  0.000000e+00 |  1.036730e+01
369    | b[2][3] =   -  cjzxi  +  cjzet  -  cjzze;      |  0.000000e+00 |  0.000000e+00 |  9.395241e+09
370    | b[2][4] = -b[2][2];                            |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
371    | b[2][5] = -b[2][3];                            |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
372    | b[2][6] = -b[2][0];                            |  0.000000e+00 |  0.000000e+00 |           inf
373    | b[2][7] = -b[2][1];                            |  0.000000e+00 |  0.000000e+00 |  1.003617e+00
376    | *volume = Real_t(8.) * ( fjxet * cjxet + fj... |  0.000000e+00 |  0.000000e+00 |  2.239841e+01
378    |                                                |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
379    | /******************************************/   |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
380    |                                                |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
381    | static inline                                  |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
382    | void SumElemFaceNormal(Real_t *normalX0, Re... |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
385    | Real_t *normalX3, Real_t *normalY3, Real_t ... |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
387    | const Real_t x1, const Real_t y1, const Rea... |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
388    | const Real_t x2, const Real_t y2, const Rea... |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
390    | {                                              |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
391    | Real_t bisectX0 = Real_t(0.5) * (x3 + x2 - ... |  0.000000e+00 |  0.000000e+00 |  6.778788e+00
392    | Real_t bisectY0 = Real_t(0.5) * (y3 + y2 - ... |  0.000000e+00 |  0.000000e+00 |  6.058549e+00
393    | Real_t bisectZ0 = Real_t(0.5) * (z3 + z2 - ... |  0.000000e+00 |  0.000000e+00 |  7.032265e+00
394    | Real_t bisectX1 = Real_t(0.5) * (x2 + x1 - ... |  0.000000e+00 |  0.000000e+00 |  6.778788e+00
395    | Real_t bisectY1 = Real_t(0.5) * (y2 + y1 - ... |  0.000000e+00 |  0.000000e+00 |  6.778788e+00
396    | Real_t bisectZ1 = Real_t(0.5) * (z2 + z1 - ... |  0.000000e+00 |  0.000000e+00 |  4.829580e+00
397    | Real_t areaX = Real_t(0.25) * (bisectY0 * b... |  0.000000e+00 |  0.000000e+00 |  1.662265e+01
398    | Real_t areaY = Real_t(0.25) * (bisectZ0 * b... |  0.000000e+00 |  0.000000e+00 |  1.662263e+01
399    | Real_t areaZ = Real_t(0.25) * (bisectX0 * b... |  0.000000e+00 |  0.000000e+00 |  1.662263e+01
401    | *normalX0 += areaX;                            |  0.000000e+00 |  0.000000e+00 |  4.947093e+00
402    | *normalX1 += areaX;                            |  0.000000e+00 |  0.000000e+00 |  4.539532e+00
403    | *normalX2 += areaX;                            |  0.000000e+00 |  0.000000e+00 |  4.539532e+00
404    | *normalX3 += areaX;                            |  0.000000e+00 |  0.000000e+00 |  7.728638e+00
406    | *normalY0 += areaY;                            |  0.000000e+00 |  0.000000e+00 |  4.539532e+00
407    | *normalY1 += areaY;                            |  0.000000e+00 |  0.000000e+00 |  3.583575e-01
408    | *normalY2 += areaY;                            |  0.000000e+00 |  0.000000e+00 |  4.539532e+00
409    | *normalY3 += areaY;                            |  0.000000e+00 |  0.000000e+00 |  7.728638e+00
411    | *normalZ0 += areaZ;                            |  0.000000e+00 |  0.000000e+00 |  3.389325e-01
412    | *normalZ1 += areaZ;                            |  0.000000e+00 |  0.000000e+00 |  7.728638e+00
413    | *normalZ2 += areaZ;                            |  0.000000e+00 |  0.000000e+00 |  4.947093e+00
414    | *normalZ3 += areaZ;                            |  0.000000e+00 |  0.000000e+00 |  3.455170e-01
549    | SumElemStressesToNodeForces( B, sigxx[k], s... |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
555    | domain.fx(gnode) += fx_local[lnode];           |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
556    | domain.fy(gnode) += fy_local[lnode];           |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
557    | domain.fz(gnode) += fz_local[lnode];           |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
603    | (y1 + y2) * (z0 + z1) - (y0 + y1) * (z1 + z... |  0.000000e+00 |  0.000000e+00 |  2.587777e+00
604    | (y0 + y4) * (z3 + z4) - (y3 + y4) * (z0 + z... |  0.000000e+00 |  0.000000e+00 |  1.705813e+01
605    | (y2 + y5) * (z3 + z5) + (y3 + y5) * (z2 + z5); |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
607    | - (x1 + x2) * (z0 + z1) + (x0 + x1) * (z1 +... |  0.000000e+00 |  0.000000e+00 |  1.916788e+00
608    | (x0 + x4) * (z3 + z4) + (x3 + x4) * (z0 + z... |  0.000000e+00 |  0.000000e+00 |  8.006808e+00
609    | (x2 + x5) * (z3 + z5) - (x3 + x5) * (z2 + z5); |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
612    | - (y1 + y2) * (x0 + x1) + (y0 + y1) * (x1 +... |  0.000000e+00 |  0.000000e+00 |  1.582968e+02
613    | (y0 + y4) * (x3 + x4) + (y3 + y4) * (x0 + x... |  0.000000e+00 |  0.000000e+00 |  8.006808e+00
614    | (y2 + y5) * (x3 + x5) - (y3 + y5) * (x2 + x5); |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
616    | *dvdx *= twelfth;                              | -1.164153e-10 |  2.980232e-08 |  3.472064e-01
617    | *dvdy *= twelfth;                              |  1.164153e-10 |  2.980232e-08 |  3.472063e-01
618    | *dvdz *= twelfth;                              |  1.164153e-10 |  2.980232e-08 |  3.472064e-01
674    | hxx[i] = hourgam[0][i] * xd[0] + hourgam[1]... |  0.000000e+00 |  0.000000e+00 |  1.000003e+00
675    | hourgam[2][i] * xd[2] + hourgam[3][i] * xd[... |  0.000000e+00 |  0.000000e+00 |  1.000052e+00
676    | hourgam[4][i] * xd[4] + hourgam[5][i] * xd[... |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
677    | hourgam[6][i] * xd[6] + hourgam[7][i] * xd[7]; |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
680    | hgfx[i] = coefficient *                        |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
681    | (hourgam[i][0] * hxx[0] + hourgam[i][1] * h... |  0.000000e+00 |  0.000000e+00 |  1.000006e+00
682    | hourgam[i][2] * hxx[2] + hourgam[i][3] * hx... |  0.000000e+00 |  0.000000e+00 |  1.000002e+00
685    | hxx[i] = hourgam[0][i] * yd[0] + hourgam[1]... |  0.000000e+00 |  0.000000e+00 |  1.000003e+00
686    | hourgam[2][i] * yd[2] + hourgam[3][i] * yd[... |  0.000000e+00 |  0.000000e+00 |  1.000052e+00
687    | hourgam[4][i] * yd[4] + hourgam[5][i] * yd[... |  0.000000e+00 |  0.000000e+00 |  1.000052e+00
688    | hourgam[6][i] * yd[6] + hourgam[7][i] * yd[7]; |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
691    | hgfy[i] = coefficient *                        |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
692    | (hourgam[i][0] * hxx[0] + hourgam[i][1] * h... |  0.000000e+00 |  0.000000e+00 |  1.000006e+00
693    | hourgam[i][2] * hxx[2] + hourgam[i][3] * hx... |  0.000000e+00 |  0.000000e+00 |  1.000002e+00
696    | hxx[i] = hourgam[0][i] * zd[0] + hourgam[1]... |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
697    | hourgam[2][i] * zd[2] + hourgam[3][i] * zd[... |  0.000000e+00 |  0.000000e+00 |  1.000052e+00
698    | hourgam[4][i] * zd[4] + hourgam[5][i] * zd[... |  0.000000e+00 |  0.000000e+00 |  1.000052e+00
699    | hourgam[6][i] * zd[6] + hourgam[7][i] * zd[7]; |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
702    | hgfz[i] = coefficient *                        |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
703    | (hourgam[i][0] * hxx[0] + hourgam[i][1] * h... |  0.000000e+00 |  0.000000e+00 |  1.000006e+00
704    | hourgam[i][2] * hxx[2] + hourgam[i][3] * hx... |  0.000000e+00 |  0.000000e+00 |  1.000002e+00
794    | Real_t volinv=Real_t(1.0)/determ[i2];          | -1.525879e-05 |  2.980232e-08 |  6.100880e-01
799    | x8n[i3] * gamma[i1][0] + x8n[i3+1] * gamma[... |  0.000000e+00 |  0.000000e+00 |  7.032265e+00
800    | x8n[i3+2] * gamma[i1][2] + x8n[i3+3] * gamm... |  0.000000e+00 |  0.000000e+00 |  7.310182e+00
801    | x8n[i3+4] * gamma[i1][4] + x8n[i3+5] * gamm... |  0.000000e+00 |  0.000000e+00 |  7.186408e+00
802    | x8n[i3+6] * gamma[i1][6] + x8n[i3+7] * gamm... |  0.000000e+00 |  0.000000e+00 |  1.024546e+01
805    | y8n[i3] * gamma[i1][0] + y8n[i3+1] * gamma[... |  0.000000e+00 |  0.000000e+00 |  7.032265e+00
806    | y8n[i3+2] * gamma[i1][2] + y8n[i3+3] * gamm... |  0.000000e+00 |  0.000000e+00 |  7.310173e+00
807    | y8n[i3+4] * gamma[i1][4] + y8n[i3+5] * gamm... |  0.000000e+00 |  0.000000e+00 |  8.784756e+00
808    | y8n[i3+6] * gamma[i1][6] + y8n[i3+7] * gamm... |  0.000000e+00 |  0.000000e+00 |  1.024543e+01
811    | z8n[i3] * gamma[i1][0] + z8n[i3+1] * gamma[... |  0.000000e+00 |  0.000000e+00 |  7.032265e+00
812    | z8n[i3+2] * gamma[i1][2] + z8n[i3+3] * gamm... |  0.000000e+00 |  0.000000e+00 |  5.720901e+00
813    | z8n[i3+4] * gamma[i1][4] + z8n[i3+5] * gamm... |  0.000000e+00 |  0.000000e+00 |  8.784756e+00
814    | z8n[i3+6] * gamma[i1][6] + z8n[i3+7] * gamm... |  0.000000e+00 |  0.000000e+00 |  1.024543e+01
816    | hourgam[0][i1] = gamma[i1][0] -  volinv*(dv... |  0.000000e+00 |  0.000000e+00 |  1.432581e+01
817    | dvdy[i3  ] * hourmody +                        |  0.000000e+00 |  0.000000e+00 |  9.424277e+00
818    | dvdz[i3  ] * hourmodz );                       |  0.000000e+00 |  0.000000e+00 |  9.424277e+00
820    | hourgam[1][i1] = gamma[i1][1] -  volinv*(dv... |  0.000000e+00 |  0.000000e+00 |  4.476375e+01
821    | dvdy[i3+1] * hourmody +                        |  0.000000e+00 |  0.000000e+00 |  3.095404e+01
822    | dvdz[i3+1] * hourmodz );                       |  0.000000e+00 |  0.000000e+00 |  8.361284e+00
824    | hourgam[2][i1] = gamma[i1][2] -  volinv*(dv... |  0.000000e+00 |  0.000000e+00 |  1.601474e+01
825    | dvdy[i3+2] * hourmody +                        |  0.000000e+00 |  0.000000e+00 |  1.127682e+01
826    | dvdz[i3+2] * hourmodz );                       |  0.000000e+00 |  0.000000e+00 |  7.388209e+00
828    | hourgam[3][i1] = gamma[i1][3] -  volinv*(dv... |  0.000000e+00 |  0.000000e+00 |  4.476375e+01
829    | dvdy[i3+3] * hourmody +                        |  0.000000e+00 |  0.000000e+00 |  3.095404e+01
830    | dvdz[i3+3] * hourmodz );                       |  0.000000e+00 |  0.000000e+00 |  8.361285e+00
832    | hourgam[4][i1] = gamma[i1][4] -  volinv*(dv... |  0.000000e+00 |  0.000000e+00 |  4.476372e+01
833    | dvdy[i3+4] * hourmody +                        |  0.000000e+00 |  0.000000e+00 |  3.095402e+01
834    | dvdz[i3+4] * hourmodz );                       |  0.000000e+00 |  0.000000e+00 |  7.747297e+00
836    | hourgam[5][i1] = gamma[i1][5] -  volinv*(dv... |  0.000000e+00 |  0.000000e+00 |  1.103865e+02
837    | dvdy[i3+5] * hourmody +                        |  0.000000e+00 |  0.000000e+00 |  1.127683e+01
838    | dvdz[i3+5] * hourmodz );                       |  0.000000e+00 |  0.000000e+00 |  8.337481e+00
840    | hourgam[6][i1] = gamma[i1][6] -  volinv*(dv... |  0.000000e+00 |  0.000000e+00 |  1.111782e+01
841    | dvdy[i3+6] * hourmody +                        |  0.000000e+00 |  0.000000e+00 |  9.013614e+00
842    | dvdz[i3+6] * hourmodz );                       |  0.000000e+00 |  0.000000e+00 |  9.013614e+00
844    | hourgam[7][i1] = gamma[i1][7] -  volinv*(dv... |  0.000000e+00 |  0.000000e+00 |  1.103865e+02
845    | dvdy[i3+7] * hourmody +                        |  0.000000e+00 |  0.000000e+00 |  1.127683e+01
846    | dvdz[i3+7] * hourmodz );                       |  0.000000e+00 |  0.000000e+00 |  8.337481e+00
853    | ss1=domain.ss(i2);                             |  0.000000e+00 |  0.000000e+00 |  1.000000e+00
854    | mass1=domain.elemMass(i2);                     |  5.820766e-11 |  2.980232e-08 |  2.980232e-08
866    | xd1[0] = domain.xd(n0si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
867    | xd1[1] = domain.xd(n1si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
868    | xd1[2] = domain.xd(n2si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
869    | xd1[3] = domain.xd(n3si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
870    | xd1[4] = domain.xd(n4si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
871    | xd1[5] = domain.xd(n5si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
872    | xd1[6] = domain.xd(n6si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
873    | xd1[7] = domain.xd(n7si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
875    | yd1[0] = domain.yd(n0si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
876    | yd1[1] = domain.yd(n1si2);                     |  0.000000e+00 |  0.000000e+00 |  1.000001e+00
