[96mGenerating FPChecker report...[00m
Trace files found: 0
Error files found: 1

===== Rounding Error Report =====
Files with rounding errors: 3
Lines with rounding errors: 623
Max abs rounding error:   2.370555e+27
Max relative error:       inf
Max seen relative error:  inf

--- File: /g/g90/sharmin1/tutorial/FPChecker/experiments/proxy_apps/mixed_precision/lulesh_new/lulesh_2/before/lulesh-init.cc
Line   | Code                                           |         Error |    Rel. Error | Max Rel. Error
--------------------------------------------------------------------------------------------------------
165    | x_local[lnode] = x(gnode);                     |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
166    | y_local[lnode] = y(gnode);                     |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
167    | z_local[lnode] = z(gnode);                     |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
171    | Real_t volume = CalcElemVolume(x_local, y_l... |  7.275958e-12 |  2.980232e-08 |  2.980232e-08
172    | volo(i) = volume ;                             |  5.820766e-11 |  2.980232e-08 |  2.980232e-08
173    | elemMass(i) = volume ;                         |  5.820766e-11 |  2.980232e-08 |  2.980232e-08
176    | nodalMass(idx) += volume / Real_t(8.0) ;       |  1.455192e-11 |  2.980232e-08 |  2.980232e-08
184    | Real_t scale = (nx*m_tp)/Real_t(45.0);         | -2.980232e-09 |  1.490116e-08 |  1.490116e-08
185    | Real_t einit = ebase*scale*scale*scale;        | -7.500000e-03 |  2.374171e-08 |  2.374171e-08
192    | deltatime() = (Real_t(.5)*cbrt(volo(0)))/sq... |  3.930315e-12 |  4.998468e-08 |  4.998468e-08
224    | Real_t tz = Real_t(1.125)*Real_t(m_planeLoc... |  0.000000e+00 |  0.000000e+00 |  0.000000e+00
450    | regionNum = ((i + myRank) % numReg()) + 1;     | -1.787970e-05 |  2.249421e-08 |  2.249421e-08
2297   | (line not found)                               |  1.241763e-09 |  9.934107e-09 |  9.934107e-09

--- File: /g/g90/sharmin1/tutorial/FPChecker/experiments/proxy_apps/mixed_precision/lulesh_new/lulesh_2/before/lulesh-util.cc
Line   | Code                                           |         Error |    Rel. Error | Max Rel. Error
--------------------------------------------------------------------------------------------------------
52     | {                                              |  0.000000e+00 |  0.000000e+00 |           inf
195    | std::cout << std::setw(12) << locDom.e(Elem... | -5.984638e+04 |  3.146015e-01 |  3.146015e-01
